Title,Latitude,Longitude,PowerKW,charging_station_type,anno
nuova_colonnina,45.475620587866345,9.102371479622507,22,slow,2025
IP,45.477763300004334,9.160636899993674,50,fast,2025
Eni,45.48368730000308,9.174471799998459,50,fast,2025
Eni,45.480700999997964,9.143393,50,fast,2025
nuova_colonnina,45.49523444333541,9.108431404537404,22,slow,2025
nuova_colonnina,45.503073874162915,9.101947700973772,22,slow,2025
nuova_colonnina,45.49825286178815,9.120566618806409,22,slow,2025
nuova_colonnina,45.471937755772785,9.156477578,50,fast,2025
nuova_colonnina,45.49521199999777,9.163463899996328,50,fast,2025
Corso Como 5 Lounge Bar,45.481764909987305,9.186228949692776,22,slow,2025
nuova_colonnina,45.486668999999246,9.196843000002795,22,slow,2025
Asilo Nido Ape Bombo,45.48239190493142,9.18479995,22,slow,2025
nuova_colonnina,45.501403025662135,9.154419100653971,50,fast,2025
nuova_colonnina,45.510532586495756,9.183622757256517,50,fast,2025
IP,45.46441400000031,9.200005400000823,50,fast,2026
nuova_colonnina,45.470424500003155,9.194593799995326,22,slow,2026
nuova_colonnina,45.46486750000294,9.197120099997077,22,slow,2026
nuova_colonnina,45.462728459510345,9.195919116427028,50,fast,2026
nuova_colonnina,45.476934699997294,9.185195699996115,50,fast,2026
IP,45.50462688385061,9.238215144894992,50,fast,2026
IP,45.49570110519678,9.195255385,50,fast,2026
Retitalia,45.516459299996875,9.225558599993962,50,fast,2026
nuova_colonnina,45.50946877894065,9.236362989,22,slow,2026
nuova_colonnina,45.49128430692142,9.216203249903284,22,slow,2026
nuova_colonnina,45.51463933053785,9.242247725837492,22,slow,2026
Parcheggi residenti Turro,45.498507387490775,9.227315486117826,22,slow,2026
nuova_colonnina,45.52048961318812,9.227437798239391,50,fast,2026
nuova_colonnina,45.48324779999767,9.201949999994131,22,slow,2026
nuova_colonnina,45.49055990991067,9.197318515637958,50,fast,2026
nuova_colonnina,45.49861186814274,9.197392939749685,50,fast,2026
nuova_colonnina,45.50367550962547,9.238089920339142,50,fast,2026
nuova_colonnina,45.485244000174156,9.199805341,22,slow,2026
nuova_colonnina,45.51450973985267,9.230943967,22,slow,2026
Retitalia,45.48098859999759,9.215048299993713,50,fast,2026
nuova_colonnina,45.47843965297406,9.227579929186703,50,fast,2026
nuova_colonnina,45.50060559999728,9.247593900002713,50,fast,2026
PoliRadio,45.47697424883606,9.229766375385646,50,fast,2026
nuova_colonnina,45.47456670987029,9.233174029708826,50,fast,2026
nuova_colonnina,45.49937263221853,9.245729217413102,50,fast,2026
nuova_colonnina,45.50608245,9.268382789609136,50,fast,2026
Esso,45.460793400001684,9.231658299994445,50,fast,2026
Keropetrol,45.45691559999633,9.241113699996678,50,fast,2026
IP,45.460769999996096,9.229031000005987,50,fast,2026
IP,45.45077420000281,9.226174300005852,50,fast,2026
nuova_colonnina,45.431345856117595,9.242975706370945,22,slow,2026
nuova_colonnina,45.46454987501103,9.254651917723647,22,slow,2026
nuova_colonnina,45.438890442095534,9.241428867,22,slow,2026
nuova_colonnina,45.45293324,9.230029498262358,22,slow,2026
nuova_colonnina,45.442057063420094,9.241555074524978,22,slow,2026
nuova_colonnina,45.42721915075838,9.250068894331564,50,fast,2026
nuova_colonnina,45.437832549997005,9.230348799998325,22,slow,2026
nuova_colonnina,45.462525625749066,9.216174002,50,fast,2026
Q8,45.398104200000944,9.210707600003433,50,fast,2026
Total,45.447634,9.183471000001237,50,fast,2026
Esso,45.42572280000182,9.202889300003166,50,fast,2026
Esso,45.43746900000418,9.1919161,50,fast,2026
Eni,45.43744961255245,9.192920243448539,50,fast,2026
nuova_colonnina,45.42799103538765,9.205775171698173,22,slow,2026
nuova_colonnina,45.443973792607615,9.178247829849907,22,slow,2026
nuova_colonnina,45.444799981509554,9.209467577319169,22,slow,2026
nuova_colonnina,45.444498916381285,9.204213472,22,slow,2026
nuova_colonnina,45.417071088309626,9.176311832,22,slow,2026
nuova_colonnina,45.41828814963399,9.174879945105078,22,slow,2026
nuova_colonnina,45.41308609516414,9.230849311495602,22,slow,2026
Poke House,45.44252257806217,9.205524948369986,22,slow,2026
nuova_colonnina,45.435568527675215,9.190534851180436,22,slow,2026
Q8,45.44447599999942,9.118009000000015,50,fast,2026
Eni,45.456347399998414,9.131969900002318,50,fast,2026
nuova_colonnina,45.45472000000146,9.132407000001654,50,fast,2026
nuova_colonnina,45.450571908452254,9.115959909980525,22,slow,2026
Il Buon Gelato di Orazio,45.45240429999659,9.150477299996329,22,slow,2026
Pianeta verde,45.43137298887032,9.126279820506108,22,slow,2026
Total,45.47141899999898,9.136268099998581,50,fast,2026
IP,45.450184999999784,9.096228999998633,50,fast,2026
Tamoil,45.46116540000116,9.163036200005445,50,fast,2026
Beyfin,45.48065770000409,9.100316799999412,50,fast,2026
Q8,45.4589919,9.1006241,50,fast,2026
Piad'Or - Piadine e non solo,45.46754810000132,9.152153500002782,22,slow,2026
nuova_colonnina,45.47069504747493,9.153961024300681,22,slow,2026
nuova_colonnina,45.494399623280806,9.132860119762078,150,ultrafast,2026
Q8,45.51261750000205,9.136692900005444,50,fast,2026
Q8,45.49814490000144,9.131019899999291,50,fast,2026
Tamoil,45.49525780000394,9.148003800004647,50,fast,2026
Q8,45.50515099999889,9.105176999995136,50,fast,2026
nuova_colonnina,45.52208943563305,9.125919861,22,slow,2026
nuova_colonnina,45.49611638666014,9.116756241,22,slow,2026
nuova_colonnina,45.49334171400572,9.107382310744729,22,slow,2026
nuova_colonnina,45.50242149999625,9.096243000000042,22,slow,2026
nuova_colonnina,45.501696693397214,9.102077850584795,22,slow,2026
nuova_colonnina,45.499010446239716,9.106804037,50,fast,2026
nuova_colonnina,45.488347919972256,9.164767465,22,slow,2026
nuova_colonnina,45.48307140392271,9.153216103,50,fast,2026
nuova_colonnina,45.48135280000381,9.169150999997845,22,slow,2026
nuova_colonnina,45.48516692814887,9.150036228111132,22,slow,2026
